"name","faceit"
"Panda_Yuma",NULL
"savvi4_",NULL
"appochtronik","https://www.faceit.com/ru/players/appo4tronik"
"aiyllaan","https://www.faceit.com/ru/players/aiyllaan"
"allupele","https://www.faceit.com/ru/players/allupele"
"-h3rzog","https://www.faceit.com/ru/players/-h3rzog-"
"hotoi","https://www.faceit.com/ru/players/hotoi"
"wondi","https://www.faceit.com/ru/players/WONDI"
"go to $leep","https://www.faceit.com/ru/players/bolodjah"
"Shellzy","https://www.faceit.com/ru/players/Shellzy_"
"nitr00","https://www.faceit.com/ru/players/illeniumcrap"
"TORORO","https://www.faceit.com/ru/players/TOROR0"
"oqimori","https://www.faceit.com/ru/players/oq1mori"
"Vorschlaghammer","https://www.faceit.com/ru/players/merkeljee"
"juanchoze","https://www.faceit.com/ru/players/jnchzeee"
"bytflyiii","https://www.faceit.com/ru/players/bytflyiisha"
"kaioh","https://www.faceit.com/ru/players/kaioh-"
"-de1we","https://www.faceit.com/ru/players/-de1we"
"madne$$-","https://www.faceit.com/ru/players/MadJinWoo69"
"AyZeNs","https://www.faceit.com/ru/players/AyZeNs"
"iZnoG0uD","https://www.faceit.com/ru/players/FD_G0D"
"seishirou-","https://www.faceit.com/ru/players/seishirou--"
"Beeye__","https://www.faceit.com/ru/players/Beeye"
"f0rZ666","https://www.faceit.com/ru/players/forziqus"
"D1SMEMBER","https://www.faceit.com/ru/players/dismember"
"MUI09","https://www.faceit.com/ru/players/MUI09"
"maaaaaaaaaaadx","https://www.faceit.com/ru/players/maaaaaaaaadx"
"bannya------","https://www.faceit.com/ru/players/bannyusha-"
"ace666","https://www.faceit.com/ru/players/-ace_-"
"vinsam10","https://www.faceit.com/ru/players/vinsam10"
"drkry","https://www.faceit.com/ru/players/darkray1"
"dimezz","https://www.faceit.com/ru/players/dimezz-"
"yjroo","https://www.faceit.com/ru/players/yjroo"
"v1ensy-","https://www.faceit.com/ru/players/vien5y-"
"aell","https://www.faceit.com/ru/players/aelbeback"
"twitch.tv/potapc","https://www.faceit.com/ru/players/IIOTAII"
"LUCAS1_","https://www.faceit.com/ru/players/hawqqq"
"[wait]","https://www.faceit.com/ru/players/wait"
"Mishimo","https://www.faceit.com/ru/players/Mishimo"
"no1oveee","https://www.faceit.com/ru/players/-nlv-"
"Janehara","https://www.faceit.com/ru/players/midzuharaaa"
"Espaada","https://www.faceit.com/ru/players/Espadaa-"
"anlucky1","https://www.faceit.com/ru/players/anlucky1"
"kavieryolo<3","https://www.faceit.com/ru/players/-kavieryolo"
"4rs""","https://www.faceit.com/ru/players/Naqama"
"NotaOnew",NULL
"User 396866141",NULL
"Nahaa Djii",NULL
"skrybykin",NULL
"broybee",NULL
"nedobro",NULL
"red1vox",NULL
"lostemok1d",NULL
"-yuishate",NULL
"Boogie01",NULL
"W1zard36",NULL
"migiii",NULL
"BahaBicuha","https://www.faceit.com/ru/players/BahaBicuha"
"xFusk","https://www.faceit.com/ru/players/xFusk-_-"
"brazier?","https://www.faceit.com/ru/players/brazier1"
"Aishela","https://www.faceit.com/ru/players/-Aishela"
"sputn1k.","https://www.faceit.com/ru/players/_1989"
"Tarskiy","https://www.faceit.com/ru/players/Tarskiy17"
"kfbr","https://www.faceit.com/ru/players/kfbr"
"jackass~","https://www.faceit.com/ru/players/jukkkkk"
"anissa","https://www.faceit.com/ru/players/anissavna"
"slgG",NULL
"1zekkk","https://www.faceit.com/ru/players/1zekkk"
"hoNdr0z","https://www.faceit.com/ru/players/hoNdr0z"
"Voldig0ad","https://www.faceit.com/ru/players/Voldig0ad"
"_joerex_","https://www.faceit.com/ru/players/joerex_94"
"saddamysupremacy",NULL
"pickmebannya----",NULL
"hondaJR",NULL
"Nyum",NULL
"vivalafleur",NULL
"seishirou_1",NULL
"baiti",NULL
"cold palmer20",NULL
"PAZ-3205",NULL
"koB1-",NULL
"syrex1111","https://www.faceit.com/ru/players/syrex-"
"-savvi4","https://www.faceit.com/ru/players/savvii4"
"hypziN","https://www.faceit.com/ru/players/hypzinho"
"catumba :*","https://www.faceit.com/ru/players/catumba"
"v_","https://www.faceit.com/ru/players/-vvi"
"passer","https://www.faceit.com/ru/players/passer"
"Burrr5a","https://www.faceit.com/ru/players/Burrr5a"
"lamak-_-","https://www.faceit.com/ru/players/HarryLudinni"
"Dzhulushan","https://www.faceit.com/ru/players/ALOOBAHHA"
"PAPA??","https://www.faceit.com/ru/players/KayXi"
"n1ko_0","https://www.faceit.com/ru/players/n1ko_0_0"
"young 30yo talen","https://www.faceit.com/ru/players/xaardyy"
"Bladja.","https://www.faceit.com/ru/players/Bladja"
"cash_dammy","https://www.faceit.com/ru/players/ex-cash"
"MDZR","https://www.faceit.com/ru/players/MD2R"
"JUGGERNYAUTt","https://www.faceit.com/ru/players/Shift-__-"
"s100wlyy","https://www.faceit.com/ru/players/sloowlyy"
"grafstwo","https://www.faceit.com/ru/players/grafstwo"
"fearstasik","https://www.faceit.com/ru/players/fearstasik"
"Mag1c_","https://www.faceit.com/ru/players/-Mag1cxD"
"how4qqq","https://www.faceit.com/ru/players/howaq"
"T A K K U :[","https://www.faceit.com/ru/players/TAKKU"
"l0uis","https://www.faceit.com/ru/players/estaross"
"carskynone","https://www.faceit.com/ru/players/carskyn1"
"bogemt","https://www.faceit.com/ru/players/bogemt"
"cora.","https://www.faceit.com/ru/players/cora---"
"Goaka","https://www.faceit.com/ru/players/Goaka"
"j4nki","https://www.faceit.com/ru/players/janki666"
"StizloR","https://www.faceit.com/ru/players/StizloR"
"RVLDDA","https://www.faceit.com/ru/players/rvljke"
"hf","https://www.faceit.com/ru/players/m4j35"
"jim_beam","https://www.faceit.com/ru/players/nyakoten"
"grimmjowXD","https://www.faceit.com/ru/players/EL_ADMIRAL"
"Celesti","https://www.faceit.com/ru/players/Ce1esti"
"hntr_","https://www.faceit.com/ru/players/hntr_"
"Timur Petrovich","https://www.faceit.com/ru/players/TimurPetrvi4"
"ubaidi","https://www.faceit.com/ru/players/basyabn"
"mari","https://www.faceit.com/ru/players/bcdfcp"
"lerinp","https://www.faceit.com/ru/players/inokesha1"
"Muut","https://www.faceit.com/ru/players/Muutik"
"GODALOHA","https://www.faceit.com/ru/players/ALOHATANEC"
"1L0N","https://www.faceit.com/ru/players/ilon"
"lerkish","https://www.faceit.com/ru/players/lerkiish"
"rocsid-","https://www.faceit.com/ru/players/rocsid-"
"NeGoDyaI : R4mb0","https://www.faceit.com/ru/players/negoyak"
"owl2h","https://www.faceit.com/ru/players/owl2h"
"DjiikeyS","https://www.faceit.com/ru/players/DjiikeyS"
"blkcaa","https://www.faceit.com/ru/players/c1v1K1"
"stusslk","https://www.faceit.com/ru/players/buwido"
"AceSs",NULL
"monstrated",NULL
"eber' vash",NULL
"Ayden_067",NULL
"wsupck",NULL
"m0zy(",NULL
"Wertni",NULL
"User 1060352249",NULL
"ezgang",NULL
"kyayszye",NULL
"_-ace_",NULL
"allerria",NULL
"lensk",NULL
"yolzeN",NULL
"Afronauter",NULL
"SHINje",NULL
"Djiikey1",NULL
"G.khan",NULL
"shyshaqqq","https://www.faceit.com/ru/players/beerflash"
"1T4l",NULL
"Lenn-","https://www.faceit.com/ru/players/Lenn21"
"9I_TAKON_6Ery",NULL
"y4yyta/l",NULL
"CBOffordd",NULL
"grafinho",NULL
"OTOMAMORE",NULL
"corgi_corgi",NULL
"enmeito","https://www.faceit.com/ru/players/enmeito"
"Kassi24","https://www.faceit.com/ru/players/Kassi24"
"Seksiykt","https://www.faceit.com/ru/players/Seksiykt14"
"jenkuuu","https://www.faceit.com/ru/players/jenku"
"MoLLlHula(11709)","https://www.faceit.com/ru/players/MoLLlHula"
"FAint2k","https://www.faceit.com/ru/players/winfactykt"
"DEMARCOS","https://www.faceit.com/ru/players/DEMARC0S"
"Haarper-","https://www.faceit.com/ru/players/-Haarper"
"sharpandshiny","https://www.faceit.com/ru/players/dilligaf"
"-kapi","https://www.faceit.com/ru/players/capolinho"
"komys-7-","https://www.faceit.com/ru/players/-komys"
"MADARA99","https://www.faceit.com/ru/players/KudrapalI"
"sa-_-uz","https://www.faceit.com/ru/players/sauzzz"
"tastygin21","https://www.faceit.com/ru/players/tastyga"
"TNDSH_TNDSH","https://www.faceit.com/ru/players/TNDSH_TNDSH"
"4ezabretto","https://www.faceit.com/ru/players/sheek-"
"pokrovskiy","https://www.faceit.com/ru/players/Batek_tvoy"
"siegen''","https://www.faceit.com/ru/players/devicinho"
"Sage","https://www.faceit.com/ru/players/Ssaggee"
"m0wnai","https://www.faceit.com/ru/players/a0kizee"
"BAABYR","https://www.faceit.com/ru/players/-xaoos"
"sonixx -iwnl-","https://www.faceit.com/ru/players/As2_M8"
"BLADGER","https://www.faceit.com/ru/players/BLADGER"
"emeshke","https://www.faceit.com/ru/players/Emeshke"
"NASTUPINAMENYA66","https://www.faceit.com/ru/players/k1rby111"
"LARILILARILA","https://www.faceit.com/ru/players/GHOSTEMANE"
"myOnaboy","https://www.faceit.com/ru/players/forestyk"
"qwertz666","https://www.faceit.com/ru/players/envy_dd"
"qennu","https://www.faceit.com/ru/players/qennu"
